 ,English,Swedish,French,Italian,German,Spanish,Russian,Romanian,Bulgarian,Macedonian,Finnish,Danish,Icelandic,Turkish,Lithuanian,Czech,Hungarian,Polish,Dutch,Portuguese_European,Portuguese_Brazilian,Chinese,Japanese,Korean
settings_hide,Hide/Show Weapon,Dölj/Visa vapen,Rengainer/Dégainer l’arme,Nascondi/Mostra arma,Waffe ein-/ausblenden,Ocultar/Mostrar arma,Убрать/Достать оружие,Ascunde/Arata arma,Скрий/покажи оръжие,Сокриј/Покажи оружје,Piilota ase/ota ase esille,Gem/vis Våbnet,Fela/Sýna vopn,Silahı Gizle/Göster,Slėpti/Rodyti ginklą,Schovat/Vytasit zbraň,Fegyvert elővesz/elrak,Ukryj/Pokaż broń,Wapen verbergen/weergeven,Ocultar/mostrar arma,Ocultar/exibir arma,隐藏/显示武器,武器を隠す/出す,무기 숨기기/표시
settings_jump,Jump,Hoppa,Sauter,Salto,Springen,Saltar,Прыжок,Sari,Скачане,Скок,Hyppää,Hop,Hoppa,Zıpla,Pašokti,Skok,Ugrás,Skok,Springen,Saltar,Pular,跳跃,ジャンプ,점프
settings_run,Run,Spring,Courir,Corsa,Rennen,Correr,Бег,Sprint,Бягане,Трчи,Juokse,Løb,Hlaupa,Koş,Bėgti,Sprint,Futás,Bieg,Rennen,Correr,Correr,奔跑,走る,달리기
settings_sit,Sit,Sitt,S’asseoir,Siediti,Sitzen,Sentarse,Сесть,,,,,,Setjast,Otur,,,Leülés,Siadanie,Zitten,Sentar,Sentar,坐下,座る,앉기
settings_autorun,Auto-Run,Auto spring,Course automatique,Corsa automatica,Autom. Rennen,Correr automático,Автоматический бег,Alergare automata,Автоматично бягане,Автоматско трчање,,,Sjálfvirkt hlaup,Otomatik Koş,,,Aut. futás,Automatyczny bieg,Autom. rennen,Corrida auto,Corrida autom.,自动奔跑,自動で走る,자동 달리기
settings_walk,Toggle Walk,Växla spring,Activer/Désactiver Marche,Attiva/Disattiva camminata,Laufen umschalten,Caminar,Переключить на шаг,,,,,,Sjálfvirk ganga,Yürü/Koş,,,Gyaloglás be/ki,Przełączanie biegu,Lopen aan/uit,Alternar caminhada,Lig./Desl. caminhada,切换行走,歩行切替,걷기 켜기/끄기
settings_crouch,Crouch,Huka,S’accroupir,Accovacciarsi,Kauern,Agacharse,Пригнуться,Ghemuit,Свиване,Клекни,,,Hnipra niður,Çömel,,Přikrčit se,Guggolás,Kucanie,Hurken,Agachar,Agachar,蹲下,しゃがむ,쪼그려 앉기
settings_altplace,Alternative Placement,Alternativ placering,Placement alternatif,Posizione Alternativa,Alternative Platzierung,Colocación opcional,Альтернативное размещение,Plasament alternativ,Алтернативно поставяне,Алтернативно поставување,Vaihtoehtoinen asettelu,,Öðruvísi staðsetningar,Alternatif Yerleştirme,,Alternativní režim stavby,Alternatív elhelyezés,Alternatywne położenie,Alternatieve plaatsing,Colocação alternativa,Posição alternativa,替代放置,代替配置,대체 배치
settings_forward,Forward,Framåt,Avancer,Avanti,Vorwärts,Adelante,Вперед,Inainte,Напред,Напред,Eteenpäin,Frem,Áfram,İleri,Pirmyn,Dopředu,Előre,Naprzód,Vooruit,Para a frente,Para a frente,前进,前進,앞으로
settings_left,Left,Vänster,Gauche,Sinistra,Links,Izquierda,Влево,Stanga,Ляво,Лево,Vasemmalle,Venstre,Vinstri,Sol,Kairėn,Doleva,Balra,Lewy,Links,Esquerda,Esquerda,向左,左,왼쪽
settings_backward,Backward,Bakåt,Reculer,Indietro,Rückwärts,Atrás,Назад,Inapoi,Назад,Назад,Taaksepäin,Baglæns,Afturábak,Geri,Atgal,Dozadu,Hátra,Do tyłu,Achteruit,Para trás,Para trás,后退,後退,뒤로
settings_right,Right,Höger,Droite,Destra,Rechts,Derecha,Вправо,Dreapta,Дясно,Десно,Oikealle,Højre,Hægri,Sağ,Dešinėn,Doprava,Jobbra,Prawy,Rechts,Direita,Direita,向右,右,오른쪽
settings_invertmouse,Invert Mouse,Invertera mus,Inverser la souris,Mouse invertito,Maus invertieren,Invertir ratón,Инверсия мыши,Inverseaza mouse,Обърната мишка,Обратно глувче,Käänteinen hiiren ohjaus,Invert musen,Snúa múshreyfingum öfugt,Fareyi Ters Çevir,Invertuoti pelę,Přehodit pohyb myši,Egér megfordítása,Odwróć mysz,Muis omkeren,Inverter rato,Inverter mouse,倒置鼠标,マウス反転,마우스 반전
settings_gamepadenabled,Gamepad Enabled,Joystick på,Manette activée,Controller abilitato,Gamepad aktiviert,Mando habilitado,Подключен контроллер,,,,,,Fjarstýring virkt,Oyun Kumandası Etkin,,,Kontroller engedélyezve,Włączony kontroler,Gamepad ingeschakeld,Gamepad ativado,Controle ativado,启用手柄,ゲームパッド有効,게임패드 사용
settings_inventory,Inventory,Inventarie,Inventaire,Inventario,Inventar,Inventario,Инвентарь,Inventar,Инвентар,Инвентар,Tavaravalikko,Inventar,Eignaskrá,Envanter,Inventorius,Inventář,Leltár,Ekwipunek,Inventaris,Inventário,Inventário,物品栏,インベントリー,소지품
settings_map,Map,Karta,Carte,Mappa,Karte,Mapa,Карта,Harta,Карта,Мапа,Kartta,Kort,Kort,Harita,Žemėlapis,Mapa,Térkép,Mapa,Kaart,Mapa,Mapa,地图,マップ,지도
settings_zoomout,Zoom Out,Zooma ut,Dézoomer,Zoom out,Rauszoomen,Alejar,Отдалить,Micsoreaza,Отделечаване,Одзумирање,Zoomaa lähemmäs,Zoom ud,Stækka,Uzaklaş,Atitolinti,Přiblížit,Közelítés,Przybliż,Uitzoomen,Afastar,Afastar,缩小,ズームアウト,축소
settings_zoomin,Zoom In,Zooma in,Zoom,Zoom in,Reinzoomen,Acercar,Приблизить,Mareste,Увеличаване,Зумирање,Zoomaa kauemmas,Zoom ind,Minnka,Yakınlaş,Priartinti,Oddálit,Távolítás,Oddal,Inzoomen,Aproximar,Aproximar,放大,ズームイン,확대
settings_buildnext,Next Build Item,Nästa byggföremål,Pièce suivante,Prossima costruzione,Nächstes Bau-Objekt,Pieza siguiente,След. строение,Urmatoarea constructie,Следваща сграда,Наредна градба,Seuraava rakennettava esine,Næste bygge gendstand,Næsti byggingarhlutur,Sonraki İnşa Eşyası,Sekantis statinys,Další stavba,Köv. építhető tárgy,Następna struktura,Volgend item bouwen,Próximo objeto a ser construído,Próximo item de construção,下一个建造物品,次の建設アイテム,다음 건설 아이템
settings_buildprev,Prev Build Item,Föregående byggföremål,Pièce précédente,Precedente costruzione,Vorheriges Bau-Objekt,Pieza anterior,Пред. строение,Constructia precedenta,Предишна сграда,Предходна градба,Edellinen rakennettava esine,Sidste bygge gendstand,Fyrri byggingarhlutur,Önceki İnşa Eşyası,Ankstesnis statinys,Předchozí stavba,Előző építhető tárgy,Wcześniejsza struktura,Vorig item bouwen,Objeto anterior construído,Item de construção anterior,上一个建造物品,前の建設アイテム,이전 건설 아이템
settings_buildcat,Build Category,Byggkategori,Catégorie de construction,Categoria costruzione,Bau-Kategorie,Categoría de construcción,Тип строения,Categorie de constructie,Категория на сграда,Категорија на градба,Rakennuskategoria,Bygge Kategori,Byggingarflokkur,İnşaat Kategorisi,Statymo kategorija,Kategorie stavby,Építés kategória,Kategorie struktur,Bouwcategorie,Categoria da construção,Categoria de construção,建造类别,建設カテゴリー,건설 범주
settings_remove,Deconstruct,Dekonstruera,Détruire,Smonta,Abreißen,Desmantelar,Разрушить,,,,,,Brjóta niður,Yık,,,Lebontás,Dekonstrukcja,Afbreken,Desconstruir,Desconstruir,拆除,解体,해체
settings_buildmenu,Build Menu,Byggmeny,Menu de construction,Menu di costruzione,Bauen-Menü,Menú de construcción,Меню строительства,,,,,,Byggingarvalmynd,İnşaat Menüsü,,,Építési menü,Menu budowania,Bouwmenu,Menu de construção,Menu de construção,建造菜单,建設メニュー,건설 메뉴
settings_mastervol,Volume,Volym,Volume,Volume,Lautstärke,Volumen,Громкость,Volum,Сила на звука,Јачина на звук,Äänenvoimakkuus,Lydstyrke,Hljóðstyrkur,Ses ayarı,Garsumas,Hlasitost hry,Hangerő,Głośność,Hoofdvolume,Volume,Volume,音量,音量,볼륨
settings_musicvol,Music Volume,Musikvolym,Volume de la musique,Volume musica,Musik-Lautstärke,Volumen de la música,Громкость музыки,Volum muzica,Сила на музиката,Јачина музика,Musiikin voimakkuus,Musik lydstyrke,Hljóðstyrkur tónlistar,Müzik Sesi,Muzikos garsumas,Hlasitost hudby,Zene hangereje,Głośność muzyki,Muziekvolume,Volume da música,Volume da música,音乐音量,BGM音量,음악 볼륨
settings_continousmusic,Continuous Music,,Musique continue,,Kontinuierliche Musik,Música continua,Непрерывная музыка,,,,,,,Devamlı Müzik,,,,Ciągła muzyka,Doorlopende muziek,,Música contínua,音乐循环,BGM継続,
settings_dof,Depth of Field (DOF),Skärpedjup (DOF),Profondeur de champ,Profondità di campo (DOF),Schärfentiefe (DOF),Profundidad de campo,Глубина резкости,Adancime (DOF),Дълбочина на зрението (DOF),Длабочина на поглед (DOF),Syvyysterävyys (DOF),Dybdeskarphed (DOF),Dýptarsvið,Alan Derinliği,Ryškumo gylis,Hloubka ostrosti (DOF),Mélységélesség (DOF),Głębia ostrości (DOF),Scherptediepte (DOF),Profundidade de campo (DOF),Profundidade de campo (DOF),景深（DOF）,被写界深度(DOF),피사계 심도(DOF)
settings_camerashake,Camera Shake,Kameraskak,Tremblements de la caméra,Vibrazione Camera,Verwackeln der Kamera,Vibración de la cámara,Тряска камеры,Tremuratul camerei,Тресене на камерата,Тресење на слика,,,Myndavélarhristingur,Kamera Sarsılması,,,Kamerarázkódás,Drgania kamery,Cameraschudding,Abanar da câmara,Balanço da câmera,镜头晃动,カメラの振動,카메라 흔들림
settings_shipcameratilt,Immersive Ship Camera,,Caméra de navigation immersive,,Immersive Schiffskamera,Cámara de navegación inmersiva,Камера во время плавания,,,,,,,Atmosferik Gemi Kamerası,,,,Immersyjna kamera statku,Immersieve schipcamera,,Câmera imersiva de navio,沉浸式船用摄像头,没入型船カメラ,
settings_quickselect,Right-Click Build Selection,,Sélection de construction par clic droit,,Gebäudeauswahl mit Rechtsklick,Elegir construcción con clic derecho,Выбор строения правой кнопкой мыши,,,,,,,Sağ Tuş ile İnşaat Seçimi,,,,Wybór budowli PPM,Bouwselectie met rechtermuisknop,,Clique direito para construir seleção,右键点击建造选项,右クリックで建設選択,
settings_showkeyhints,Show Key Hints,,Afficher les conseils de touches,,Tastenhinweise anzeigen,Mostrar teclas,Показывать подсказки клавиш,,,,,,,Tuş İpuçlarını Göster,,,,Pokaż skróty klawiszowe,Toetsenhints weergeven,,Exibir atalhos,显示关键提示,キーのヒントを表示,
settings_guiscale,Scale GUI,Skala gui,Taille de l’UI,Scala interfaccia,Doppelte Auflösung,Ajustar IGU,Масштаб интерфейса,Scaleaza interfata grafica,Големина на GUI,Големина на GUI,,,Stækka grafískt notendaviðmót,Grafik Arayüzünü Ölçekle,,Škálovat GUI,Kezelőfelület méret,Skala interfejsu,Interfaceschaal,Escalar gui,Escalar GUI,缩放图形界面,UIのサイズ,GUI 배율
settings_guicale_note,Minimum screen resolution 2560x1440,Lägsta skärmupplösning 2560x1440,Résolution minimum 2560x1440,Risoluzione minima schermo 2560x1440,Minimale Auflösung 2560x1440,Resolución mínima de pantalla 2560x1440,Минимальное разрешение экрана 2560x1440,Rezolutie minima 2560x1440,Минималност на екрана 2560x14440,Минимум резолуција на екран 2560x1440,,,Minnsta upplausn 2560x1440,Minimum ekran çözünürlüğü 2560x1440,,Minimální rozlišení obrazovky 2560x1440,Minimális képernyőfelbontás 2560x1440,Minimalna rozdzielczość ekranu 2560x1440,Minimale schermresolutie  2560x1440,Resolução mínima do ecrã 2560x1440,Resolução mínima da tela 2560x1440,最低屏幕分辨率2560x1440,最小画面解像度 2560x1440,최소 화면 해상도 2560x1440
settings_bloom,Bloom,Ljuskladd,Bloom,Bloom,Bloom,Bloom,Свечение,Bloom,Bloom,Bloom,,,Blámi,Blum,,,Bloom,Barwa,Bloom,Bloom,Bloom,泛光,ブルーム,블룸
settings_ssao,SSAO,Mörkahörn,SSAO,SSAO,SSAO,SSAO,SSAO,SSAO,SSAO,SSAO,,,SSAO (Tölvuútreiknaðir skuggar),SSAO,,SSAO,SSAO,SSAO,SSAO,SSAO,SSAO,SSAO,SSAO,SSAO
settings_sunshafts,Sun Shafts,Solskaft,Rayons du soleil,Raggi del sole,Sonnenstrahlen,Rayos de sol,Солнечные лучи,Raze de soare,Слънчеви валове,Sun shafts,,,Sólargeisli,Güneş Işınları,,Sluneční paprsky,Napsugarak,Promienie słoneczne,Zonnestralen,Raios de sol,Raios de sol,光照,サンシャフト,선 샤프트
settings_motionblur,Motion Blur,Rörelsekladd,Flou de mouvement,Sfocatura movimento,Bewegungsunschärfe,Desenfoque de movimiento,Размытие при движении,Blur in miscare,Замъляване,Motion blur,,,Hreyfimóða,Hareket Bulanıklığı,,Rozmazání pohybem,Mozgási elmosódás,Rozmycie w ruchu,Bewegingsonscherpte,Movimento esbatido,Desfoque de movimento,动态模糊,モーションブラー,모션 블러
settings_tesselation,Tessellation,Tesselering,Tessellation,Tassellatura,Tessellation,Teselado,Тесселяция,,,,,,,Tesselasyon,,,Tesszelláció,Teselacja,Betegeling,Mosaico,Mosaico,曲面细分,テッセレーション,테셀레이션
settings_antialiasing,Anti-Aliasing,Kantutjämning,Anticrénelage,Anti aliasing,Anti-Aliasing,Suavizado,Сглаживание,Anti-Aliasing,Anti-aliasing,Anti aliasing,,,AA (Vörn gegn myndrifum),Kenar Yumuşatma,,Anti-aliasing,Élsimítás,Wygładzanie krawędzi,Anti-aliasing,Antialiasing,Antisserrilhamento,抗锯齿,アンチエイリアシング,안티에일리어싱
settings_ca,Chromatic Aberration,Färgblödning,Aberration chromatique,Aberrazione cromatica,Chromatische Aberration,Aberración cromática,Хроматическая абберация,,,,,,,Kromatik Sapma,,,Kromatikus aberráció,Aberracja chromatyczna,Chromatische aberratie,Aberração cromática,Aberração cromática,色差,色収差,색수차
settings_vsync,VSync,Vertical-sync,VSync,VSync,Vsnyc,VSync,Верт. синхронизация,Sincronizare Verticala (VSync),Vsync,VSync,,,Lóðrétt samstilling,VSync,,VSync,Függ. szinkr.,Synchronizacja pionowa,Vsync,Sinc V,Sincronização Vertical,垂直同步,垂直同期,수직 동기화
settings_shadowquality,Shadow Quality,Skuggkvalitet,Qualité des ombres,Qualità ombre,Schatten-Qualität,Calidad de las sombras,Качество теней,Calitate umbre,Качество на сенките,Квалитет на сенки,,,Gæði skugga,Gölge Kalitesi,,,Árnyék minősége,Jakość cieni,Schaduwkwaliteit,Qualidade das sombras,Qualidade das sombras,阴影质量,影のクオリティ,그림자 품질
settings_vegetation,Vegetation Quality,Växtkvalitet,Qualité de la végétation,Qualità vegetazione,Vegetations-Qualität,Calidad de la vegetación,Качество растительности,Calitate vegetatie,Качество на растителността,Квалитет на вегетација,,,Gæði gróðurs,Bitki Örtüsü Kalitesi,,,Növényzet minősége,Jakość roślinności,Vegetatiekwaliteit,Qualidade da vegetação,Qualidade da vegetação,植被质量,植物のクオリティ,초목 품질
settings_lod,Draw Distance/Level of Detail,Detaljrikedom,Niveau de détails,Livello di dettaglio,Detailgrad,Distancia de dibujado/Nivel de detalle,Уровень детализации,Nivel de detaliu (LOD),LOD,LOD,,,Magn smáatriða,Çizim Mesafesi/Ayrıntı Seviyesi,,,Látótávolság/Részletesség,Odległość rysowania / poziom szczegółów,Tekenafstand / detailniveau,,Distância de exibição/Nível de detalhes,绘制距离/详细程度,描画距離/ディテールレベル,
settings_lights,Particle Lights,Partikelljus,Particules lumineuses,Luci particellari,Lichtpartikel,Partículas de luz,Частицы света,Particule de lumina,Слънчеви частици,Particle lights,,,Agnaljós,Partikül Işıkları,,,Részecske megvilágítás,Światło cząsteczkowe,Deeltjeslicht,Luzes em partículas,Luzes em partículas,粒子光照,パーティクルライト,입자 조명
settings_softpart,Soft Particles,Mjuka partiklar,Autres particules,Particelle soffici,Weiche Partikel,Partículas finas,Мягкие частицы,Particule usoare,Меки частици,Soft particles,,,Mjúkar agnir,Yumuşak Partiküller,,,Finom részecskék,Miękkie cząsteczki,Zachte deeltjes,Partículas suaves,Partículas suaves,软粒子,ソフトパーティクル,부드러운 입자
settings_low,Low,Låg,Bas,Basso,Niedrig,Bajo,Низко,Scazut,Ниско,Ниско,,,Lágt,Düşük,,,Alacsony,Niski poziom,Laag,Baixa,Baixa,低,低,낮음
settings_medium,Medium,Medium,Moyen,Medio,Mittel,Medio,Средне,Mediu,Средно,Средно,,,Meðal,Orta,,,Közepes,Średni poziom,Gemiddeld,Média,Média,中,中,보통
settings_high,High,Hög,Haut,Alto,Hoch,Alto,Высоко,Inalt,Високо,Високо,,,Hátt,Yüksek,,,Magas,Wysoki poziom,Hoog,Alta,Alta,高,高,높음
settings_res,Resolution,Upplösning,Résolution,Risoluzione,Auflösung,Resolución,Разрешение,Rezolutie,Резолюция,Резолуција,,,Upplausn,Çözünürlük,,,Felbontás,Rozdzielczość,Resolutie,Resolução,Resolução,分辨率,解像度,해상도
settings_fullscreen,Fullscreen,Fullskärm,Plein écran,Schermo intero,Vollbild,Pantalla completa,Полный экран,Fullscreen,Цял екран,Цел екран,,,Fylla út í skjá,Tam Ekran,,,Teljes képernyő,Pełny ekran,Volledig scherm,Ecrã completo,Tela cheia,全屏,フルスクリーン,전체 화면
settings_apply,Apply,Applicera,Appliquer,Applica,Anwenden,Aplicar,Применить,Aplica,Приложи,Потврди,,,Nota,Uygula,,,Alkalmaz,Zastosuj,Toepassen,Aplicar,Aplicar,应用,適用,적용
